Expenditure category,Expenditure category,Expenditure category,Expenditure category,Expenditure category,2020-03,2020-03
,"(3) If the current seasonally adjusted 1-month percent change is greater than the previous published 1-month percent change, then this column identifies the closest prior month with a 1-month percent change as (L)arge as or (L)arger than the current 1-month change.  If the current 1-month percent change is smaller than the previous published 1-month percent change, the most recent month with a change as (S)mall or (S)maller than the current month change is identified.  If the current and previous published 1-month percent changes are equal, a dash will appear.  Standard numerical comparisons are used.  For example, 0.8% is greater than 0.6%, -0.4% is less than -0.2%, and -0.2% is less than 0.0%.  Note that a (L)arger change can be a smaller decline, for example, a -0.2% change is larger than a -0.4% change, but still represents a decline in the price index.  Likewise, (S)maller changes can be increases, for example, a 0.6% change is smaller than 0.8%, but still represents an increase in the price index.  In this context, a -0.2% change is considered to be smaller than a 0.0% change.  The same comparison is done for the 12-month percent change.",,,,,
,(4) Not seasonally adjusted.,,,,,
,(5) Indexes on a December 1997=100 base.,,,,,
,(6) Special indexes based on a substantially smaller sample.  These series do not contribute to the all items index aggregation and therefore do not have a relative importance or effect.,,,,,
,(7) Indexes on a December 2007=100 base.,,,,,
,(8) Indexes on a December 2005=100 base.,,,,,
,(9) Indexes on a December 1986=100 base.,,,,,
,(10) Indexes on a December 1993=100 base.,,,,,
,(11) Indexes on a December 2009=100 base.,,,,,
,(12) Indexes on a December 1990=100 base.,,,,,
,(13) Indexes on a December 1983=100 base.,,,,,
,(14) Indexes on a December 2001=100 base.,,,,,
,(15) Indexes on a December 1982=100 base.,,,,,
,(16) Indexes on a December 1996=100 base.,,,,,
,(17) Indexes on a December 1988=100 base.,,,,,
